FIPS,Adjacents,Number of Adjacents,coords,LAT,LONG
36041,"[36031, 36033, 36035, 36041, 36043, 36089, 36091, 36113]",8,"(43.6578786, -74.5024556)",43.6578786,-74.5024556
36045,"[36011, 36045, 36049, 36075, 36089]",5,"(44.0607, -75.9928)",44.0607,-75.9928
36053,"[36017, 36023, 36053, 36065, 36067, 36075, 36077]",7,"(42.9100255, -75.6635749)",42.9100255,-75.6635749
36025,"[36007, 36017, 36025, 36039, 36077, 36095, 36105, 36111]",8,"(42.1939865, -74.966728)",42.1939865,-74.966728
36015,"[36015, 36097, 36101, 36107, 36109]",5,"(42.1552807, -76.7471788)",42.1552807,-76.7471788
36035,"[36035, 36041, 36043, 36057, 36091]",5,"(43.1156093, -74.4236782)",43.1156093,-74.4236782
36105,"[36025, 36071, 36105, 36111]",4,"(41.7201763, -74.7646796)",41.7201763,-74.7646796
36095,"[36001, 36025, 36039, 36057, 36077, 36093, 36095]",7,"(42.591294, -74.4381718)",42.591294,-74.4381718
36087,"[36071, 36079, 36087, 36119]",4,"(41.1547851, -74.0247721)",41.1547851,-74.0247721
36031,"[36019, 36031, 36033, 36041, 36113, 36115]",6,"(44.1089711, -73.7775726)",44.1089711,-73.7775726
36047,"[36047, 36061, 36081, 36085]",4,"(40.6782, -73.9442)",40.6782,-73.9442
36093,"[36001, 36057, 36091, 36093, 36095]",5,"(42.8175421, -74.0435834)",42.8175421,-74.0435834
36021,"[36001, 36021, 36027, 36039, 36083, 36111]",6,"(42.2477286, -73.6268046)",42.2477286,-73.6268046
36001,"[36001, 36021, 36039, 36083, 36091, 36093, 36095]",7,"(42.5882713, -73.9740136)",42.5882713,-73.9740136
36033,"[36019, 36031, 36033, 36041, 36089]",5,"(44.5943743, -74.3106698)",44.5943743,-74.3106698
36089,"[36033, 36041, 36043, 36045, 36049, 36089]",6,"(44.4881125, -75.074311)",44.4881125,-75.074311
36115,"[36031, 36083, 36091, 36113, 36115]",5,"(43.3123766, -73.4394282)",43.3123766,-73.4394282
36119,"[36005, 36059, 36079, 36087, 36119]",5,"(41.1527698, -73.745912)",41.1527698,-73.745912
36079,"[36027, 36071, 36079, 36087, 36119]",5,"(41.4351, -73.7949)",41.4351,-73.7949
36005,"[36005, 36059, 36061, 36081, 36119]",5,"(40.8448, -73.8648)",40.8448,-73.8648
36027,"[36021, 36027, 36071, 36079, 36111]",5,"(41.7550085, -73.7399512)",41.7550085,-73.7399512
36061,"[36005, 36047, 36061, 36081]",4,"(40.7831, -73.9712)",40.7831,-73.9712
36017,"[36007, 36017, 36023, 36025, 36053, 36077]",6,"(42.489732, -75.6049051)",42.489732,-75.6049051
36037,"[36029, 36037, 36051, 36055, 36063, 36073, 36121]",7,"(43.0009096, -78.1927784)",43.0009096,-78.1927784
36059,"[36005, 36059, 36081, 36103, 36119]",5,"(40.7506561, -73.582905)",40.7506561,-73.582905
36009,"[36003, 36009, 36013, 36029, 36121]",5,"(42.2448527, -78.6810055)",42.2448527,-78.6810055
36071,"[36027, 36071, 36079, 36087, 36105, 36111]",6,"(41.4024096, -74.3062522)",41.4024096,-74.3062522
36049,"[36043, 36045, 36049, 36065, 36075, 36089]",6,"(43.7863965, -75.4426165)",43.7863965,-75.4426165
36013,"[36009, 36013, 36029]",3,"(42.3042159, -79.4075949)",42.3042159,-79.4075949
36067,"[36011, 36023, 36053, 36067, 36075]",5,"(43.0065299, -76.1961167)",43.0065299,-76.1961167
36029,"[36009, 36013, 36029, 36037, 36063, 36121]",6,"(42.752759, -78.7781922)",42.752759,-78.7781922
36039,"[36001, 36021, 36025, 36039, 36083, 36095, 36111]",7,"(42.2869511, -74.1494949)",42.2869511,-74.1494949
