Count,FIPS,Week Ending Date,Week,County,actual_count,Season
6,36097,06-01-2018,1,SCHUYLER,0,2017-2018
11,36097,13-01-2018,2,SCHUYLER,3,2017-2018
14,36097,20-01-2018,3,SCHUYLER,2,2017-2018
24,36097,27-01-2018,4,SCHUYLER,6,2017-2018
33,36097,03-02-2018,5,SCHUYLER,4,2017-2018
25,36097,10-02-2018,6,SCHUYLER,3,2017-2018
13,36097,17-02-2018,7,SCHUYLER,5,2017-2018
9,36097,24-02-2018,8,SCHUYLER,10,2017-2018
7,36097,03-03-2018,9,SCHUYLER,5,2017-2018
7,36097,10-03-2018,10,SCHUYLER,3,2017-2018
5,36097,17-03-2018,11,SCHUYLER,3,2017-2018
4,36097,24-03-2018,12,SCHUYLER,2,2017-2018
9,36097,31-03-2018,13,SCHUYLER,1,2017-2018
2,36097,07-04-2018,14,SCHUYLER,1,2017-2018
2,36097,14-04-2018,15,SCHUYLER,1,2017-2018
1,36097,21-04-2018,16,SCHUYLER,1,2017-2018
1,36097,28-04-2018,17,SCHUYLER,0,2017-2018
0,36097,05-05-2018,18,SCHUYLER,0,2017-2018
0,36097,12-05-2018,19,SCHUYLER,0,2017-2018
0,36097,19-05-2018,20,SCHUYLER,0,2017-2018
0,36097,06-10-2018,40,SCHUYLER,0,2018-2019
0,36097,13-10-2018,41,SCHUYLER,0,2018-2019
0,36097,20-10-2018,42,SCHUYLER,0,2018-2019
0,36097,27-10-2018,43,SCHUYLER,0,2018-2019
0,36097,03-11-2018,44,SCHUYLER,1,2018-2019
0,36097,10-11-2018,45,SCHUYLER,1,2018-2019
0,36097,17-11-2018,46,SCHUYLER,2,2018-2019
1,36097,24-11-2018,47,SCHUYLER,0,2018-2019
1,36097,01-12-2018,48,SCHUYLER,0,2018-2019
1,36097,08-12-2018,49,SCHUYLER,0,2018-2019
1,36097,15-12-2018,50,SCHUYLER,2,2018-2019
1,36097,22-12-2018,51,SCHUYLER,3,2018-2019
1,36097,29-12-2018,52,SCHUYLER,3,2018-2019
14,36097,05-01-2019,1,SCHUYLER,2,2018-2019
22,36099,06-01-2018,1,SENECA,9,2017-2018
22,36099,13-01-2018,2,SENECA,20,2017-2018
24,36099,20-01-2018,3,SENECA,14,2017-2018
47,36099,27-01-2018,4,SENECA,34,2017-2018
70,36099,03-02-2018,5,SENECA,56,2017-2018
59,36099,10-02-2018,6,SENECA,32,2017-2018
45,36099,17-02-2018,7,SENECA,31,2017-2018
30,36099,24-02-2018,8,SENECA,20,2017-2018
10,36099,03-03-2018,9,SENECA,14,2017-2018
8,36099,10-03-2018,10,SENECA,18,2017-2018
8,36099,17-03-2018,11,SENECA,10,2017-2018
6,36099,24-03-2018,12,SENECA,1,2017-2018
12,36099,31-03-2018,13,SENECA,3,2017-2018
8,36099,07-04-2018,14,SENECA,1,2017-2018
7,36099,14-04-2018,15,SENECA,8,2017-2018
3,36099,21-04-2018,16,SENECA,5,2017-2018
2,36099,28-04-2018,17,SENECA,5,2017-2018
1,36099,05-05-2018,18,SENECA,3,2017-2018
0,36099,12-05-2018,19,SENECA,2,2017-2018
0,36099,19-05-2018,20,SENECA,3,2017-2018
0,36099,06-10-2018,40,SENECA,0,2018-2019
0,36099,13-10-2018,41,SENECA,0,2018-2019
0,36099,20-10-2018,42,SENECA,0,2018-2019
0,36099,27-10-2018,43,SENECA,0,2018-2019
0,36099,03-11-2018,44,SENECA,0,2018-2019
0,36099,10-11-2018,45,SENECA,0,2018-2019
0,36099,17-11-2018,46,SENECA,0,2018-2019
1,36099,24-11-2018,47,SENECA,0,2018-2019
1,36099,01-12-2018,48,SENECA,0,2018-2019
1,36099,08-12-2018,49,SENECA,0,2018-2019
1,36099,15-12-2018,50,SENECA,0,2018-2019
1,36099,22-12-2018,51,SENECA,0,2018-2019
1,36099,29-12-2018,52,SENECA,0,2018-2019
4,36099,05-01-2019,1,SENECA,7,2018-2019
8,36101,06-01-2018,1,STEUBEN,14,2017-2018
13,36101,13-01-2018,2,STEUBEN,23,2017-2018
13,36101,20-01-2018,3,STEUBEN,26,2017-2018
31,36101,27-01-2018,4,STEUBEN,37,2017-2018
35,36101,03-02-2018,5,STEUBEN,60,2017-2018
34,36101,10-02-2018,6,STEUBEN,70,2017-2018
26,36101,17-02-2018,7,STEUBEN,70,2017-2018
15,36101,24-02-2018,8,STEUBEN,43,2017-2018
8,36101,03-03-2018,9,STEUBEN,38,2017-2018
6,36101,10-03-2018,10,STEUBEN,24,2017-2018
9,36101,17-03-2018,11,STEUBEN,25,2017-2018
11,36101,24-03-2018,12,STEUBEN,33,2017-2018
19,36101,31-03-2018,13,STEUBEN,45,2017-2018
9,36101,07-04-2018,14,STEUBEN,30,2017-2018
6,36101,14-04-2018,15,STEUBEN,20,2017-2018
2,36101,21-04-2018,16,STEUBEN,12,2017-2018
1,36101,28-04-2018,17,STEUBEN,6,2017-2018
0,36101,05-05-2018,18,STEUBEN,5,2017-2018
0,36101,12-05-2018,19,STEUBEN,2,2017-2018
0,36101,19-05-2018,20,STEUBEN,0,2017-2018
0,36101,06-10-2018,40,STEUBEN,0,2018-2019
0,36101,13-10-2018,41,STEUBEN,0,2018-2019
0,36101,20-10-2018,42,STEUBEN,1,2018-2019
0,36101,27-10-2018,43,STEUBEN,0,2018-2019
0,36101,03-11-2018,44,STEUBEN,0,2018-2019
0,36101,10-11-2018,45,STEUBEN,0,2018-2019
0,36101,17-11-2018,46,STEUBEN,0,2018-2019
1,36101,24-11-2018,47,STEUBEN,0,2018-2019
1,36101,01-12-2018,48,STEUBEN,1,2018-2019
1,36101,08-12-2018,49,STEUBEN,0,2018-2019
1,36101,15-12-2018,50,STEUBEN,2,2018-2019
1,36101,22-12-2018,51,STEUBEN,4,2018-2019
1,36101,29-12-2018,52,STEUBEN,5,2018-2019
301,36101,05-01-2019,1,STEUBEN,13,2018-2019
386,36103,06-01-2018,1,SUFFOLK,212,2017-2018
366,36103,13-01-2018,2,SUFFOLK,362,2017-2018
333,36103,20-01-2018,3,SUFFOLK,449,2017-2018
606,36103,27-01-2018,4,SUFFOLK,710,2017-2018
772,36103,03-02-2018,5,SUFFOLK,1131,2017-2018
781,36103,10-02-2018,6,SUFFOLK,1081,2017-2018
748,36103,17-02-2018,7,SUFFOLK,1090,2017-2018
489,36103,24-02-2018,8,SUFFOLK,807,2017-2018
217,36103,03-03-2018,9,SUFFOLK,361,2017-2018
86,36103,10-03-2018,10,SUFFOLK,180,2017-2018
98,36103,17-03-2018,11,SUFFOLK,165,2017-2018
107,36103,24-03-2018,12,SUFFOLK,122,2017-2018
88,36103,31-03-2018,13,SUFFOLK,135,2017-2018
73,36103,07-04-2018,14,SUFFOLK,80,2017-2018
114,36103,14-04-2018,15,SUFFOLK,96,2017-2018
67,36103,21-04-2018,16,SUFFOLK,76,2017-2018
24,36103,28-04-2018,17,SUFFOLK,61,2017-2018
8,36103,05-05-2018,18,SUFFOLK,37,2017-2018
2,36103,12-05-2018,19,SUFFOLK,23,2017-2018
2,36103,19-05-2018,20,SUFFOLK,15,2017-2018
1,36103,06-10-2018,40,SUFFOLK,6,2018-2019
1,36103,13-10-2018,41,SUFFOLK,6,2018-2019
